,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,manager_id
0,1,75.0,75.0,704705.0,730067.0,704705.0,10.0,5.0,1000.0,0.0,0.0,4.0,1450135
1,2,80.0,155.0,2340828.0,2358258.0,606835.0,25.0,5.0,1002.0,0.0,0.0,11.0,1450135
2,3,89.0,244.0,355421.0,361956.0,196179.0,5.0,0.0,1006.0,1.0,0.0,3.0,1450135
3,4,48.0,292.0,6294757.0,6304214.0,428772.0,65.0,2.0,1007.0,2.0,0.0,15.0,1450135
4,5,80.0,372.0,440120.0,448389.0,146312.0,5.0,2.0,1012.0,0.0,0.0,3.0,1450135
5,6,38.0,410.0,7774756.0,7796339.0,513012.0,75.0,2.0,1014.0,0.0,0.0,4.0,1450135
6,7,53.0,463.0,2997548.0,3004810.0,400276.0,30.0,0.0,1019.0,2.0,0.0,8.0,1450135
7,8,26.0,489.0,8738765.0,8756139.0,857150.0,85.0,0.0,1024.0,0.0,0.0,7.0,1450135
8,9,75.0,564.0,491829.0,496776.0,465459.0,5.0,1.0,1026.0,1.0,0.0,6.0,1450135
9,10,62.0,626.0,324265.0,326924.0,212022.0,5.0,13.0,1027.0,2.0,0.0,14.0,1450135
10,11,70.0,696.0,794038.0,800532.0,131777.0,10.0,13.0,1034.0,0.0,0.0,10.0,1450135
11,12,77.0,773.0,405506.0,408377.0,54200.0,5.0,4.0,1035.0,1.0,0.0,13.0,1450135
12,13,82.0,855.0,1155581.0,1163174.0,42920.0,15.0,4.0,1040.0,0.0,0.0,0.0,1450135
13,14,55.0,910.0,6608773.0,6617527.0,80480.0,65.0,15.0,1043.0,2.0,0.0,13.0,1450135
14,15,68.0,978.0,1228371.0,1241004.0,48089.0,15.0,15.0,1046.0,0.0,0.0,2.0,1450135
15,16,51.0,1029.0,4221541.0,4231980.0,56660.0,40.0,13.0,1048.0,2.0,0.0,13.0,1450135
16,17,87.0,1108.0,1311517.0,1312291.0,68689.0,15.0,1.0,1046.0,4.0,8.0,6.0,1450135
17,18,60.0,1168.0,3506981.0,3522076.0,85357.0,35.0,19.0,1047.0,1.0,0.0,7.0,1450135
18,19,75.0,1243.0,3352189.0,3368397.0,102096.0,35.0,19.0,1049.0,0.0,0.0,7.0,1450135
19,20,57.0,1300.0,6258618.0,6276545.0,148685.0,60.0,19.0,1049.0,0.0,0.0,12.0,1450135
20,21,91.0,1391.0,290097.0,292145.0,71119.0,5.0,6.0,1050.0,2.0,0.0,5.0,1450135
21,22,53.0,1444.0,2690283.0,2711808.0,62454.0,25.0,6.0,1056.0,0.0,0.0,5.0,1450135
22,23,88.0,1532.0,84301.0,84511.0,23136.0,1.0,21.0,1059.0,3.0,0.0,15.0,1450135
23,24,149.0,1681.0,132181.0,134236.0,8608.0,5.0,19.0,1064.0,1.0,0.0,14.0,1450135
24,25,99.0,1780.0,1266867.0,1276721.0,7360.0,15.0,5.0,1063.0,1.0,0.0,3.0,1450135
25,26,88.0,1868.0,866842.0,873618.0,6905.0,10.0,5.0,1062.0,0.0,0.0,1.0,1450135
26,27,59.0,1927.0,3237145.0,3262820.0,6875.0,30.0,5.0,1064.0,0.0,0.0,1.0,1450135
27,28,63.0,1990.0,2800919.0,2823082.0,6068.0,25.0,5.0,1067.0,0.0,0.0,3.0,1450135
28,29,37.0,2027.0,6066199.0,6069571.0,12096.0,55.0,9.0,1061.0,3.0,0.0,0.0,1450135
29,30,50.0,2077.0,3622892.0,3659982.0,12535.0,35.0,8.0,1050.0,0.0,0.0,9.0,1450135
30,31,66.0,2143.0,127283.0,129354.0,7106.0,5.0,5.0,1057.0,2.0,0.0,8.0,1450135
31,32,92.0,2235.0,432880.0,437704.0,4869.0,5.0,5.0,1064.0,0.0,0.0,10.0,1450135
32,33,75.0,2310.0,1502797.0,1510150.0,4729.0,15.0,55.0,1068.0,2.0,0.0,9.0,1450135
33,34,89.0,2399.0,232398.0,244041.0,3581.0,5.0,55.0,1071.0,0.0,0.0,19.0,1450135
34,35,46.0,2445.0,4084656.0,4102109.0,4325.0,40.0,25.0,1066.0,1.0,0.0,11.0,1450135
35,36,64.0,2501.0,684803.0,686797.0,5006.0,10.0,9.0,1061.0,3.0,8.0,0.0,1450135
36,37,63.0,2564.0,527716.0,533877.0,4074.0,5.0,13.0,1058.0,1.0,0.0,16.0,1450135
37,38,60.0,2624.0,1883361.0,1894311.0,4164.0,20.0,29.0,1063.0,1.0,0.0,13.0,1450135
38,7,34.0,34.0,8823133.0,8961456.0,10445625.0,85.0,0.0,1002.0,0.0,0.0,0.0,10448238
39,8,28.0,62.0,8107310.0,8313367.0,10437581.0,80.0,0.0,1005.0,0.0,0.0,3.0,10448238
40,9,61.0,123.0,3094172.0,3256563.0,10398494.0,30.0,0.0,1008.0,0.0,0.0,3.0,10448238
41,10,33.0,156.0,7323772.0,7551348.0,10393027.0,70.0,0.0,1008.0,0.0,0.0,4.0,10448238
42,11,45.0,201.0,6554056.0,6559560.0,10378687.0,65.0,0.0,1010.0,4.0,0.0,11.0,10448238
43,12,43.0,244.0,6854519.0,7025522.0,10372436.0,65.0,0.0,1009.0,0.0,0.0,12.0,10448238
44,13,45.0,289.0,8578078.0,8727420.0,10391091.0,80.0,0.0,1008.0,0.0,0.0,8.0,10448238
45,14,46.0,335.0,8635595.0,8767593.0,10397777.0,80.0,0.0,1008.0,0.0,0.0,2.0,10448238
46,15,79.0,414.0,228956.0,255302.0,10315246.0,5.0,0.0,1007.0,0.0,0.0,2.0,10448238
47,16,49.0,463.0,4670058.0,4867895.0,10293068.0,45.0,0.0,1006.0,0.0,0.0,13.0,10448238
48,17,29.0,492.0,10157127.0,10233891.0,10340867.0,95.0,0.0,1008.0,0.0,0.0,3.0,10448238
49,18,44.0,536.0,7459570.0,7603497.0,10330997.0,70.0,0.0,1007.0,0.0,0.0,8.0,10448238
